customer_id,segment,geography,income,credit_score,loan_type,loan_amount,tenure,acquisition_channel,days_past_due,default_flag
64,Prime,Rural,16483,561,SME Working Capital,199055,48,Direct,17,0
65,Near Prime,Rural,84874,640,Personal Loan,92578,36,App,11,0
66,Prime,Urban,24585,691,SME Working Capital,317713,36,App,2,0
67,Subprime,Rural,119751,717,BNPL,87569,48,Partner,7,0
68,Subprime,Semi-Urban,48357,532,Personal Loan,551699,48,App,29,1
69,Subprime,Semi-Urban,132366,589,Personal Loan,123218,48,Partner,17,0
70,Near Prime,Urban,53600,725,Personal Loan,279671,48,Partner,5,0
71,Subprime,Semi-Urban,23389,580,SME Working Capital,413047,36,Direct,19,0
72,Prime,Semi-Urban,193306,735,SME Working Capital,532574,36,App,4,0
73,Prime,Rural,134330,624,SME Working Capital,471692,12,Direct,15,0
74,Near Prime,Rural,136000,533,SME Working Capital,194083,48,Partner,19,0
75,Near Prime,Rural,66441,621,BNPL,122707,48,App,13,0
76,Near Prime,Rural,61995,579,SME Working Capital,395307,6,Direct,14,0
77,Prime,Urban,79219,817,BNPL,107138,24,Direct,5,0
78,Prime,Urban,122838,626,SME Working Capital,592657,12,App,12,0
79,Prime,Rural,150770,713,BNPL,528733,12,Partner,7,0
80,Prime,Urban,153162,644,BNPL,348183,24,App,8,0
81,Prime,Semi-Urban,78971,535,BNPL,306763,12,Direct,20,0
82,Near Prime,Urban,46400,840,BNPL,387057,12,App,3,0
83,Near Prime,Semi-Urban,38062,791,Personal Loan,196862,6,Partner,5,0
84,Near Prime,Semi-Urban,124020,830,Personal Loan,35889,6,Partner,3,0
85,Near Prime,Rural,159269,811,SME Working Capital,560482,12,App,7,0
86,Near Prime,Urban,86881,637,Personal Loan,254656,12,Direct,11,0
87,Near Prime,Urban,192023,602,Personal Loan,48514,36,Direct,11,0
88,Near Prime,Rural,77743,618,BNPL,181920,36,Direct,16,0
89,Subprime,Urban,165081,795,BNPL,391961,24,App,4,0
90,Near Prime,Semi-Urban,41491,806,SME Working Capital,379317,6,App,2,0
91,Subprime,Semi-Urban,85501,768,Personal Loan,12920,48,Direct,8,0
92,Subprime,Rural,146544,676,SME Working Capital,493808,48,Direct,3,0
93,Prime,Rural,42662,510,Personal Loan,151293,12,Direct,23,1
94,Subprime,Urban,75527,618,Personal Loan,690336,12,App,11,0
95,Prime,Semi-Urban,96332,722,BNPL,171004,6,Direct,7,0
96,Near Prime,Semi-Urban,33970,505,Personal Loan,465226,36,App,24,1
97,Near Prime,Rural,96004,783,SME Working Capital,595407,36,Direct,8,0
98,Near Prime,Urban,166732,512,BNPL,84692,24,Partner,26,1
99,Prime,Rural,194422,635,BNPL,246815,6,App,11,0
100,Near Prime,Rural,87309,812,BNPL,698954,6,Direct,5,0
101,Prime,Semi-Urban,17250,759,Personal Loan,668973,48,Direct,4,0
102,Prime,Urban,134959,656,SME Working Capital,42956,12,Partner,9,0
103,Subprime,Rural,50237,797,SME Working Capital,647902,6,App,7,0
104,Near Prime,Urban,34128,698,Personal Loan,88651,12,Partner,2,0
105,Near Prime,Semi-Urban,23809,656,Personal Loan,91025,6,App,11,0
106,Near Prime,Urban,144036,535,SME Working Capital,409420,6,App,19,0
107,Subprime,Rural,129190,819,SME Working Capital,669252,6,Partner,4,0
108,Near Prime,Semi-Urban,171630,594,Personal Loan,650275,24,Direct,15,0
109,Prime,Rural,30697,841,Personal Loan,99067,6,Direct,6,0
110,Near Prime,Rural,48657,763,SME Working Capital,307411,6,Direct,6,0
111,Near Prime,Rural,139916,606,BNPL,331506,12,Partner,17,0
112,Prime,Urban,61238,577,BNPL,456344,6,App,17,0
113,Near Prime,Rural,57355,799,SME Working Capital,372654,36,App,6,0
114,Near Prime,Semi-Urban,190256,707,BNPL,150292,48,Partner,9,0
115,Subprime,Urban,102865,775,SME Working Capital,84942,12,App,3,0
116,Subprime,Semi-Urban,109584,595,BNPL,138170,12,Partner,12,0
117,Prime,Semi-Urban,19059,533,Personal Loan,115234,24,Direct,23,1
118,Prime,Urban,94556,528,Personal Loan,217461,36,Direct,23,1
119,Near Prime,Urban,38823,540,SME Working Capital,176082,12,Partner,20,0
120,Prime,Rural,159887,675,Personal Loan,301444,24,Direct,8,0
121,Prime,Urban,187822,663,SME Working Capital,294020,48,Direct,8,0
122,Near Prime,Urban,83818,848,BNPL,147833,36,Direct,4,0
123,Prime,Semi-Urban,123021,706,SME Working Capital,569195,12,Direct,4,0
124,Near Prime,Rural,30217,575,BNPL,335631,24,App,19,0
125,Subprime,Rural,142208,729,SME Working Capital,209634,6,App,5,0
126,Prime,Rural,29978,835,BNPL,263482,6,Partner,2,0
127,Near Prime,Semi-Urban,17126,525,SME Working Capital,22228,6,Direct,23,1
128,Near Prime,Rural,22126,633,Personal Loan,256004,12,Direct,9,0
129,Subprime,Semi-Urban,164159,568,BNPL,503945,48,Direct,16,0
130,Prime,Urban,172752,805,Personal Loan,114311,12,Partner,9,0
131,Prime,Urban,192862,807,Personal Loan,568691,6,Partner,6,0
132,Subprime,Semi-Urban,142785,820,Personal Loan,489399,24,App,6,0
133,Subprime,Semi-Urban,166718,619,Personal Loan,40411,48,App,15,0
134,Prime,Urban,78171,666,SME Working Capital,605542,6,App,14,0
135,Near Prime,Urban,149738,553,BNPL,128647,36,Partner,18,0
136,Near Prime,Semi-Urban,156100,505,SME Working Capital,214207,12,Partner,29,1
137,Subprime,Urban,139187,569,SME Working Capital,64661,12,Partner,14,0
138,Prime,Rural,63662,544,BNPL,314675,36,Partner,21,1
139,Near Prime,Rural,145647,682,Personal Loan,482946,12,Partner,5,0
140,Subprime,Rural,185806,678,SME Working Capital,382518,36,App,13,0
141,Near Prime,Urban,44126,766,Personal Loan,586951,36,App,7,0
142,Prime,Urban,160091,615,BNPL,472142,48,Partner,11,0
143,Prime,Urban,69168,636,Personal Loan,606618,24,Direct,16,0
144,Prime,Semi-Urban,179251,509,SME Working Capital,193449,12,App,25,1
145,Subprime,Semi-Urban,15466,819,Personal Loan,513905,12,App,4,0
146,Prime,Rural,85327,652,BNPL,455131,24,Partner,8,0
147,Prime,Semi-Urban,17426,780,SME Working Capital,578683,24,Direct,6,0
148,Prime,Rural,152060,590,Personal Loan,663153,6,App,15,0
149,Prime,Semi-Urban,127908,571,SME Working Capital,539138,6,Partner,14,0
150,Prime,Rural,118405,688,SME Working Capital,17625,48,Direct,7,0
151,Prime,Urban,182090,576,Personal Loan,513581,12,App,17,0
152,Near Prime,Semi-Urban,111648,575,BNPL,337153,6,Partner,15,0
153,Near Prime,Urban,86296,624,BNPL,506318,24,Partner,10,0
154,Near Prime,Rural,158998,691,Personal Loan,400942,12,Direct,7,0
155,Prime,Rural,48418,825,BNPL,20514,36,App,7,0
156,Prime,Urban,49286,635,BNPL,452161,48,Direct,12,0
157,Near Prime,Rural,103338,507,BNPL,380580,24,App,23,1
158,Subprime,Urban,18773,722,Personal Loan,40159,6,Direct,8,0
159,Subprime,Rural,90464,668,BNPL,420805,36,App,11,0
160,Prime,Semi-Urban,99436,731,Personal Loan,695802,12,Direct,7,0
161,Prime,Rural,42594,575,SME Working Capital,63904,12,Partner,21,1
162,Subprime,Urban,137709,617,BNPL,427216,48,Partner,10,0
163,Subprime,Urban,91196,662,Personal Loan,586881,36,App,11,0
164,Near Prime,Urban,47880,689,BNPL,166610,12,App,8,0
165,Near Prime,Urban,51183,733,Personal Loan,600158,48,Partner,5,0
166,Subprime,Semi-Urban,180249,552,BNPL,106335,48,Direct,21,1
167,Near Prime,Rural,98506,549,SME Working Capital,95857,24,App,17,0
168,Subprime,Rural,62968,607,Personal Loan,246428,6,Direct,11,0
169,Prime,Urban,137261,711,Personal Loan,668418,36,App,5,0
170,Prime,Semi-Urban,175577,770,Personal Loan,270385,6,Direct,4,0
171,Prime,Urban,143752,799,SME Working Capital,557083,12,Direct,7,0
172,Prime,Urban,199696,541,BNPL,227629,6,App,22,1
173,Subprime,Urban,101683,575,Personal Loan,280723,6,Partner,21,1
174,Prime,Semi-Urban,191521,835,Personal Loan,194765,36,Direct,3,0
175,Near Prime,Semi-Urban,18309,841,BNPL,678265,12,Partner,7,0
176,Prime,Urban,154884,785,SME Working Capital,84861,6,Partner,6,0
177,Prime,Urban,17773,563,BNPL,286668,6,Partner,17,0
178,Near Prime,Rural,87780,685,SME Working Capital,236180,6,App,3,0
179,Prime,Semi-Urban,170416,837,SME Working Capital,458594,12,Partner,2,0
180,Near Prime,Rural,115827,575,Personal Loan,152928,24,Partner,17,0
181,Near Prime,Urban,18983,717,BNPL,617639,36,Direct,6,0
182,Prime,Urban,76361,747,SME Working Capital,457513,6,Partner,6,0
183,Near Prime,Rural,91550,843,Personal Loan,532148,48,Partner,5,0
184,Prime,Urban,168934,580,Personal Loan,209174,12,Partner,19,0
185,Prime,Urban,21998,784,BNPL,258758,12,Partner,5,0
186,Prime,Semi-Urban,166808,596,BNPL,36687,36,Partner,11,0
187,Prime,Urban,40159,609,BNPL,167085,48,Direct,13,0
188,Prime,Semi-Urban,19680,662,BNPL,433466,24,App,11,0
189,Subprime,Semi-Urban,50577,709,BNPL,648490,48,Direct,11,0
190,Subprime,Urban,35529,844,Personal Loan,259404,12,App,5,0
191,Prime,Rural,160983,567,BNPL,678095,24,Direct,18,0
192,Prime,Rural,148513,512,SME Working Capital,274238,24,App,24,1
193,Prime,Rural,155908,754,SME Working Capital,394089,48,App,10,0
194,Near Prime,Urban,44384,725,SME Working Capital,667505,36,App,8,0
195,Prime,Semi-Urban,18706,759,SME Working Capital,473840,36,Partner,3,0
196,Near Prime,Semi-Urban,98317,706,SME Working Capital,235674,36,App,5,0
197,Subprime,Rural,145216,798,SME Working Capital,389959,12,Direct,7,0
198,Prime,Urban,116001,527,SME Working Capital,361798,48,App,21,1
199,Near Prime,Rural,183328,519,BNPL,277184,12,App,21,1
200,Near Prime,Urban,143679,676,BNPL,470622,36,Partner,10,0
201,Near Prime,Semi-Urban,31678,844,BNPL,98595,6,App,3,0
202,Prime,Urban,43466,751,SME Working Capital,14996,12,Direct,9,0
203,Near Prime,Rural,147209,664,BNPL,152464,48,App,7,0
204,Subprime,Semi-Urban,178167,752,Personal Loan,193280,6,Direct,4,0
205,Near Prime,Semi-Urban,64041,509,BNPL,575497,12,Partner,26,1
206,Prime,Semi-Urban,65137,812,Personal Loan,58423,6,App,5,0
207,Near Prime,Semi-Urban,145514,661,BNPL,291331,6,App,11,0
208,Near Prime,Semi-Urban,102065,631,SME Working Capital,352322,6,Partner,12,0
209,Near Prime,Rural,83724,550,Personal Loan,94160,12,App,22,1
210,Prime,Urban,158735,631,Personal Loan,564448,24,App,11,0
211,Subprime,Urban,94943,533,Personal Loan,344355,24,Partner,21,1
212,Subprime,Semi-Urban,163593,805,Personal Loan,524279,24,Direct,3,0
213,Near Prime,Rural,177160,575,Personal Loan,119133,6,App,17,0
214,Near Prime,Urban,126165,767,BNPL,96350,24,Partner,4,0
215,Prime,Semi-Urban,181498,769,SME Working Capital,596073,12,App,4,0
216,Subprime,Urban,61314,627,BNPL,401057,24,Direct,10,0
217,Subprime,Semi-Urban,123055,635,BNPL,286339,36,Partner,11,0
218,Near Prime,Rural,77671,843,Personal Loan,371496,48,App,6,0
219,Near Prime,Urban,121799,554,BNPL,541591,12,Partner,21,1
220,Prime,Urban,153030,587,Personal Loan,115678,36,Direct,22,1
221,Prime,Semi-Urban,23671,772,Personal Loan,196002,12,App,7,0
222,Prime,Semi-Urban,180989,765,BNPL,16066,24,Partner,7,0
223,Near Prime,Rural,192554,800,SME Working Capital,289656,48,Direct,4,0
224,Prime,Semi-Urban,23520,836,BNPL,407665,6,Direct,8,0
225,Subprime,Urban,67572,705,Personal Loan,223731,12,Partner,3,0
226,Near Prime,Urban,160248,768,Personal Loan,270625,24,App,9,0
227,Near Prime,Semi-Urban,50923,517,BNPL,577088,36,App,24,1
228,Prime,Semi-Urban,133504,697,BNPL,326911,48,Partner,8,0
229,Near Prime,Semi-Urban,79460,542,BNPL,120373,24,App,17,0
230,Subprime,Semi-Urban,46236,672,BNPL,517160,24,App,9,0
231,Near Prime,Urban,40093,611,Personal Loan,696371,12,App,15,0
232,Prime,Semi-Urban,123111,592,Personal Loan,169490,24,App,13,0
233,Near Prime,Urban,24247,647,SME Working Capital,460042,48,Direct,7,0
234,Prime,Urban,53248,560,SME Working Capital,505585,12,App,19,0
235,Subprime,Rural,103394,576,SME Working Capital,462415,24,Direct,16,0
236,Near Prime,Semi-Urban,113700,797,SME Working Capital,505908,6,Partner,4,0
237,Prime,Rural,59621,791,Personal Loan,53549,6,Partner,4,0
238,Near Prime,Urban,105246,784,Personal Loan,243281,48,App,4,0
239,Near Prime,Semi-Urban,124337,622,Personal Loan,161561,12,Direct,15,0
240,Prime,Rural,112281,784,BNPL,172088,12,App,6,0
241,Subprime,Urban,116663,765,Personal Loan,192675,48,Partner,6,0
242,Near Prime,Semi-Urban,80420,514,BNPL,128714,6,Direct,21,1
243,Subprime,Semi-Urban,152896,748,BNPL,10927,6,App,6,0
244,Subprime,Semi-Urban,42764,579,SME Working Capital,86816,24,Partner,16,0
245,Prime,Rural,154643,516,Personal Loan,163952,24,Direct,22,1
246,Near Prime,Urban,83167,813,Personal Loan,325443,6,Direct,6,0
247,Prime,Urban,122017,554,SME Working Capital,631125,48,App,24,1
248,Near Prime,Semi-Urban,49816,616,SME Working Capital,388658,12,Partner,11,0
249,Near Prime,Rural,186719,719,BNPL,454633,24,App,6,0
250,Near Prime,Semi-Urban,67615,518,SME Working Capital,194370,24,Direct,26,1
251,Subprime,Rural,95520,521,BNPL,242566,24,Partner,20,0
252,Prime,Urban,72872,642,BNPL,139931,48,Direct,11,0
253,Near Prime,Rural,35022,743,BNPL,78557,6,Direct,8,0
254,Prime,Semi-Urban,176346,801,Personal Loan,7628,24,Direct,7,0
255,Prime,Urban,163179,683,SME Working Capital,697814,24,App,6,0
256,Near Prime,Semi-Urban,19540,519,BNPL,604264,12,Partner,23,1
257,Near Prime,Semi-Urban,108427,521,SME Working Capital,539009,24,Partner,20,0
258,Subprime,Semi-Urban,191539,789,BNPL,237944,24,Partner,10,0
259,Near Prime,Rural,182650,532,SME Working Capital,432216,36,App,22,1
260,Prime,Urban,49668,783,SME Working Capital,488171,24,App,3,0
261,Subprime,Urban,176205,686,SME Working Capital,414139,24,App,5,0
262,Prime,Semi-Urban,25768,547,SME Working Capital,576712,12,Direct,24,1
263,Prime,Rural,177631,591,SME Working Capital,610396,36,App,18,0
264,Near Prime,Urban,142039,688,Personal Loan,458619,12,App,8,0
265,Prime,Urban,140961,842,SME Working Capital,17958,24,Partner,6,0
266,Prime,Rural,101268,761,Personal Loan,143118,6,Direct,6,0
267,Subprime,Urban,137387,761,SME Working Capital,98763,6,Direct,8,0
268,Prime,Urban,197470,807,Personal Loan,268244,48,Direct,2,0
269,Subprime,Urban,199325,663,SME Working Capital,301506,48,Direct,7,0
270,Near Prime,Semi-Urban,89841,523,Personal Loan,389417,24,Direct,23,1
271,Prime,Urban,176621,812,BNPL,629821,6,Partner,6,0
272,Prime,Urban,190786,534,Personal Loan,564970,6,Direct,20,0
273,Prime,Rural,149948,596,SME Working Capital,306708,12,App,14,0
274,Subprime,Rural,18381,777,Personal Loan,165852,24,Direct,5,0
275,Near Prime,Rural,193618,827,Personal Loan,312671,36,App,3,0
276,Prime,Rural,52908,829,Personal Loan,16149,24,App,0,0
277,Prime,Semi-Urban,76667,553,BNPL,459868,36,App,15,0
278,Subprime,Urban,27780,761,Personal Loan,57241,24,Partner,1,0
279,Prime,Semi-Urban,93878,634,Personal Loan,233775,6,Partner,14,0
280,Near Prime,Urban,37770,706,SME Working Capital,148172,24,App,5,0
281,Prime,Rural,164561,682,SME Working Capital,59052,48,Partner,6,0
282,Subprime,Rural,101384,828,SME Working Capital,322402,6,App,9,0
283,Near Prime,Urban,126420,833,Personal Loan,398065,48,Partner,7,0
284,Prime,Urban,121483,511,Personal Loan,49898,12,Direct,20,0
285,Subprime,Semi-Urban,35801,741,Personal Loan,261780,6,App,3,0
286,Prime,Rural,142387,775,Personal Loan,354287,6,Direct,6,0
287,Near Prime,Urban,31144,797,SME Working Capital,317239,12,App,6,0
288,Near Prime,Semi-Urban,96593,615,BNPL,630057,48,Direct,12,0
289,Prime,Urban,101527,807,BNPL,261791,48,App,4,0
290,Prime,Semi-Urban,51812,580,BNPL,68003,12,App,17,0
291,Prime,Urban,19898,731,SME Working Capital,461252,48,Partner,6,0
292,Prime,Rural,76916,705,Personal Loan,547155,48,App,4,0
293,Prime,Rural,173791,681,SME Working Capital,336367,36,Partner,9,0
294,Prime,Rural,177324,558,BNPL,429688,6,App,15,0
295,Subprime,Rural,133923,759,BNPL,567536,6,Partner,1,0
296,Prime,Semi-Urban,73175,531,BNPL,52800,24,Partner,21,1
297,Near Prime,Semi-Urban,143821,531,Personal Loan,99727,48,Partner,21,1
298,Prime,Urban,62104,825,SME Working Capital,225101,36,App,5,0
299,Prime,Urban,115874,748,BNPL,213214,36,Partner,12,0
300,Near Prime,Urban,164578,570,Personal Loan,407618,12,Direct,18,0
301,Subprime,Rural,146388,768,BNPL,653084,12,App,5,0
302,Near Prime,Semi-Urban,43824,678,Personal Loan,172845,12,Direct,5,0
303,Prime,Rural,145331,636,SME Working Capital,202001,48,App,10,0
304,Subprime,Rural,138743,595,SME Working Capital,608058,36,Partner,12,0
305,Prime,Semi-Urban,142549,782,Personal Loan,321800,36,Direct,4,0
306,Prime,Urban,150520,666,Personal Loan,696523,6,App,7,0
307,Near Prime,Semi-Urban,113301,791,BNPL,371175,36,Partner,3,0
308,Subprime,Rural,145626,560,SME Working Capital,21309,6,App,21,1
309,Subprime,Urban,35064,658,BNPL,450684,12,App,11,0
310,Near Prime,Urban,74478,521,SME Working Capital,209817,12,App,21,1
311,Prime,Urban,50205,820,Personal Loan,205934,48,App,6,0
312,Subprime,Rural,144391,542,SME Working Capital,189301,12,App,21,1
313,Subprime,Semi-Urban,17401,847,SME Working Capital,359458,48,Direct,4,0
314,Subprime,Rural,88871,678,Personal Loan,173820,36,Partner,5,0
315,Near Prime,Urban,62823,575,BNPL,162156,36,App,21,1
316,Prime,Urban,98495,748,Personal Loan,236910,12,Partner,5,0
317,Prime,Urban,53928,658,Personal Loan,621194,48,App,7,0
318,Near Prime,Semi-Urban,156021,831,BNPL,472318,24,Direct,2,0
319,Near Prime,Rural,66365,709,SME Working Capital,306489,6,Direct,5,0
320,Subprime,Semi-Urban,116521,688,SME Working Capital,503590,48,App,6,0
321,Prime,Urban,159341,776,Personal Loan,60657,36,App,6,0
322,Near Prime,Rural,16986,761,Personal Loan,597445,6,Direct,6,0
323,Prime,Rural,161873,548,Personal Loan,286847,24,Direct,19,0
324,Near Prime,Rural,32819,540,Personal Loan,163716,36,Partner,22,1
325,Prime,Urban,79439,799,BNPL,443115,24,Partner,5,0
326,Near Prime,Urban,90971,751,BNPL,206214,12,Partner,4,0
327,Prime,Semi-Urban,129031,744,SME Working Capital,342783,48,App,2,0
328,Prime,Rural,18353,717,BNPL,559157,12,App,4,0
329,Subprime,Rural,81928,820,BNPL,537404,48,Partner,5,0
330,Prime,Urban,76918,511,SME Working Capital,542717,6,Direct,21,1
331,Subprime,Rural,63098,542,Personal Loan,330708,6,App,25,1
332,Near Prime,Semi-Urban,113317,603,Personal Loan,274360,36,App,13,0
333,Prime,Urban,176180,636,SME Working Capital,181760,24,Partner,13,0
334,Near Prime,Rural,95337,526,Personal Loan,627414,24,Partner,21,1
335,Prime,Semi-Urban,171006,837,BNPL,692097,12,Direct,7,0
336,Subprime,Semi-Urban,38480,507,SME Working Capital,410975,24,Partner,22,1
337,Prime,Semi-Urban,82558,562,BNPL,235650,36,App,16,0
338,Near Prime,Semi-Urban,25290,547,SME Working Capital,557354,24,Direct,18,0
339,Prime,Rural,96132,545,SME Working Capital,400553,48,Direct,17,0
340,Prime,Rural,47720,583,SME Working Capital,321066,36,Direct,15,0
341,Subprime,Urban,192269,631,BNPL,439396,24,Partner,12,0
342,Near Prime,Urban,70121,537,BNPL,266029,48,App,21,1
343,Near Prime,Rural,159403,733,BNPL,362899,36,Partner,6,0
344,Near Prime,Rural,52835,822,SME Working Capital,218109,12,Direct,3,0
345,Prime,Rural,42306,583,Personal Loan,521053,6,Partner,20,0
346,Subprime,Rural,122410,563,SME Working Capital,427496,24,App,19,0
347,Subprime,Urban,134807,606,BNPL,587137,48,App,11,0
348,Prime,Urban,120589,783,SME Working Capital,406379,48,Partner,6,0
349,Near Prime,Urban,147776,692,SME Working Capital,294696,48,Direct,4,0
350,Prime,Semi-Urban,183602,753,BNPL,651324,6,Partner,4,0
351,Near Prime,Semi-Urban,53811,510,BNPL,66766,36,Partner,23,1
352,Prime,Semi-Urban,177639,798,BNPL,123359,36,Direct,3,0
353,Near Prime,Semi-Urban,35586,564,SME Working Capital,410910,24,Direct,20,0
354,Near Prime,Rural,184565,747,BNPL,695361,12,Partner,3,0
355,Near Prime,Urban,164038,627,BNPL,506870,12,Partner,13,0
356,Prime,Rural,71415,623,Personal Loan,303550,12,Partner,9,0
357,Subprime,Urban,115192,721,Personal Loan,312554,48,App,10,0
358,Prime,Rural,171578,777,BNPL,254223,24,Partner,3,0
359,Subprime,Urban,158567,730,SME Working Capital,96807,6,App,7,0
360,Near Prime,Semi-Urban,114045,701,BNPL,636698,24,Direct,6,0
361,Prime,Semi-Urban,21246,794,SME Working Capital,39786,12,App,6,0
362,Near Prime,Rural,65145,819,SME Working Capital,420119,36,App,5,0
363,Subprime,Semi-Urban,66371,507,SME Working Capital,344086,48,Partner,23,1
364,Near Prime,Urban,99985,536,Personal Loan,287390,24,App,20,0
365,Subprime,Semi-Urban,27224,540,SME Working Capital,606591,24,Direct,23,1
366,Prime,Semi-Urban,156250,728,BNPL,517210,6,App,7,0
367,Prime,Rural,65746,802,BNPL,225967,36,Partner,4,0
368,Prime,Semi-Urban,180089,843,SME Working Capital,323824,24,App,4,0
369,Near Prime,Rural,59545,697,Personal Loan,358385,36,Partner,5,0
370,Prime,Semi-Urban,187428,546,Personal Loan,121950,12,Partner,22,1
371,Prime,Urban,67713,512,BNPL,459305,6,Partner,22,1
372,Near Prime,Rural,47474,795,SME Working Capital,697742,24,Direct,7,0
373,Prime,Semi-Urban,113681,812,BNPL,148263,48,Direct,3,0
374,Prime,Urban,103546,552,BNPL,399444,6,Direct,18,0
375,Near Prime,Rural,141395,529,BNPL,298971,48,App,22,1
376,Prime,Rural,145248,787,BNPL,335475,48,App,5,0
377,Near Prime,Semi-Urban,137907,688,SME Working Capital,467438,12,Direct,4,0
378,Subprime,Rural,184132,654,SME Working Capital,116128,6,Partner,9,0
379,Prime,Semi-Urban,186747,577,BNPL,601471,24,Direct,17,0
380,Near Prime,Urban,29083,542,Personal Loan,154702,12,Partner,18,0
381,Near Prime,Semi-Urban,16254,847,BNPL,185328,36,App,5,0
382,Prime,Rural,53434,650,BNPL,457075,6,App,10,0
383,Near Prime,Urban,138168,668,Personal Loan,123514,48,Partner,8,0
